X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.003667182226014801,44.521344197104035,0.7319254280806897
2.0,2.0,train,0.008220785862945288,78.96576878576295,0.9477229910953086
3.0,3.0,train,0.0080525636935311,77.33561949547828,0.9444686829304213
4.0,4.0,train,0.0077473212087308665,75.74341748129612,0.9380376571800841
5.0,5.0,train,0.008350171906415318,80.62506873740355,0.9500956544441548
6.0,6.0,train,0.012836206735856327,98.57795295956308,0.9900292456515238
7.0,7.0,train,0.011030395139356667,87.47667310559669,0.9809335803724466
8.0,8.0,train,0.012668545158397148,96.02856437077298,0.9894106852126724
9.0,9.0,train,7.919088781967935E-4,23.215706517205856,0.24745100014470467
10.0,10.0,train,4.7511210782749945E-4,13.701905202872446,0.15680883200450102
11.0,11.0,train,7.35578437783801E-4,21.998360157902663,0.2320778940596736
12.0,12.0,train,9.095406583487953E-4,24.85540650695731,0.27856866029152605
13.0,13.0,train,0.0020640953187103252,34.544998894024765,0.5233602290995505
