Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.67495E-5,0.007674948,0.021342731,1,0,0
8.33732E-5,0.016012271,0.023163189,0.99898374,0,0
8.57859E-5,0.03307088,0.023825455,0.99695122,0,0
8.68683E-5,0.050380736,0.024122407,0.994918699,0,0
9.20046E-5,0.103918475,0.02553034,0.988821138,0,0
9.99572E-5,0.200080984,0.02770626,0.978658537,0,0
1.05796E-4,0.302556038,0.029300799,0.968495935,0,0
1.10474E-4,0.400075056,0.030576357,0.959349593,0,0
1.13905E-4,0.501327783,0.031510916,0.950203252,0,0
1.18174E-4,0.606374561,0.032672362,0.941056911,0,0
1.19732E-4,0.70178602,0.033095726,0.932926829,0,0
1.20897E-4,0.761954213,0.033412435,0.927845528,0,0
1.22389E-4,0.810664451,0.033817826,0.923780488,0,0
1.24856E-4,0.909611808,0.034487351,0.915650407,0,0
1.28302E-4,1.011320012,0.035422256,0.907520325,0,0
1.29285E-4,1.101537776,0.03568883,0.900406504,0,0
1.32717E-4,1.206572222,0.036618542,0.892276423,0,0
1.34022E-4,1.300138725,0.036971896,0.885162602,0,0
1.36844E-4,1.408295921,0.037735439,0.87703252,0,0
1.39579E-4,1.5053265,0.038475111,0.869918699,0,0
1.44094E-4,1.761029222,0.039694478,0.851626016,0,0
1.47942E-4,2.009272876,0.040732729,0.834349593,0,0
1.52245E-4,2.250883131,0.041892162,0.818089431,0,0
1.56242E-4,2.5131052,0.042968261,0.800813008,0,0
1.59802E-4,2.750326235,0.043925416,0.785569106,0,0
1.6344E-4,3.009118632,0.044902621,0.769308943,0,0
1.65984E-4,3.25587386,0.045585432,0.754065041,0,0
1.69609E-4,3.507779593,0.046557409,0.738821138,0,0
1.74606E-4,3.766720809,0.047895588,0.723577236,0,0
1.78696E-4,4.014090192,0.048989697,0.709349593,0,0
1.82616E-4,4.266418983,0.050036909,0.695121951,0,0
1.85382E-4,4.505509827,0.050775159,0.681910569,0,0
1.89907E-4,4.76814613,0.051981862,0.667682927,0,0
1.93986E-4,5.018083263,0.053068129,0.654471545,0,0
1.97949E-4,5.253621346,0.054122412,0.642276423,0,0
2.0321E-4,5.515124582,0.055520184,0.629065041,0,0
2.09613E-4,5.764106949,0.057218534,0.616869919,0,0
2.14649E-4,6.019505346,0.058552183,0.604674797,0,0
2.18322E-4,6.258033875,0.0595237,0.593495935,0,0
2.21325E-4,6.521930795,0.060317397,0.581300813,0,0
2.25634E-4,6.768692696,0.061454793,0.570121951,0,0
2.30435E-4,7.019432824,0.062720633,0.558943089,0,0
2.34121E-4,7.251649345,0.063691231,0.548780488,0,0
2.38951E-4,7.512390067,0.0649616,0.537601626,0,0
2.4576E-4,7.755504424,0.066749441,0.527439024,0,0
2.52875E-4,8.005223471,0.068614008,0.517276423,0,0
2.5814E-4,8.261277296,0.069991423,0.507113821,0,0
2.65029E-4,8.523353502,0.071790591,0.49695122,0,0
2.68727E-4,8.764192862,0.072754885,0.487804878,0,0
2.7263E-4,9.008003649,0.073771751,0.478658537,0,0
2.76397E-4,9.254884516,0.074751957,0.469512195,0,0
2.82942E-4,9.505867223,0.076452495,0.460365854,0,0
2.87184E-4,9.76278527,0.077553108,0.451219512,0,0
2.89452E-4,10.022323617,0.078140969,0.442073171,0,0
2.9339E-4,10.25535601,0.079160844,0.433943089,0,0
2.96408E-4,10.521115632,0.079941741,0.424796748,0,0
2.99057E-4,10.759385857,0.08062665,0.416666667,0,0
3.05535E-4,11.001137914,0.082299353,0.408536585,0,0
3.10991E-4,11.278040961,0.083705581,0.399390244,0,0
3.13758E-4,11.527914604,0.084418107,0.391260163,0,0
3.21525E-4,11.782068262,0.086414843,0.383130081,0,0
3.26882E-4,12.008773618,0.087789429,0.37601626,0,0
3.36428E-4,12.274129212,0.090233901,0.367886179,0,0
3.4304E-4,12.512619157,0.091923168,0.360772358,0,0
3.46817E-4,12.754113727,0.092886679,0.353658537,0,0
3.56829E-4,13.001197846,0.095435968,0.346544715,0,0
3.61453E-4,13.253162087,0.096610991,0.339430894,0,0
3.77253E-4,13.512956922,0.100614428,0.332317073,0,0
3.83056E-4,13.779032497,0.102080209,0.325203252,0,0
3.98832E-4,14.014872186,0.106053376,0.319105691,0,0
4.0606E-4,14.256903499,0.107867737,0.31300813,0,0
4.11819E-4,14.502641994,0.10931082,0.306910569,0,0
4.1735E-4,14.751360432,0.110694398,0.300813008,0,0
4.23846E-4,15.003999179,0.112316708,0.294715447,0,0
4.36091E-4,15.262616397,0.115367,0.288617886,0,0
4.57295E-4,15.531969138,0.120623963,0.282520325,0,0
4.72048E-4,15.767013147,0.12426321,0.277439024,0,0
4.84549E-4,16.006537346,0.127335074,0.272357724,0,0
4.92994E-4,16.251578821,0.129404188,0.267276423,0,0
5.01973E-4,16.500947771,0.131598755,0.262195122,0,0
5.13168E-4,16.754675922,0.134327233,0.257113821,0,0
5.31185E-4,17.016855877,0.138700306,0.25203252,0,0
5.40623E-4,17.285120762,0.140982132,0.24695122,0,0
5.50334E-4,17.503713753,0.143323752,0.242886179,0,0
5.71372E-4,17.783993621,0.148374971,0.237804878,0,0
5.92907E-4,18.01821783,0.1535146,0.233739837,0,0
6.01939E-4,18.257682945,0.155660999,0.229674797,0,0
6.17579E-4,18.501996244,0.159364827,0.225609756,0,0
6.33134E-4,18.752198897,0.163032397,0.221544715,0,0
6.47385E-4,19.010297886,0.166378521,0.217479675,0,0
6.69247E-4,19.274457001,0.171485621,0.213414634,0.076923077,0
6.80117E-4,19.544009884,0.17401317,0.209349593,0.076923077,0
6.94285E-4,19.819281951,0.177296131,0.205284553,0.076923077,0
7.02177E-4,20.028874103,0.17911933,0.202235772,0.076923077,0
7.12109E-4,20.312445406,0.181407744,0.198170732,0.076923077,0
7.43429E-4,20.53389693,0.18858289,0.195121951,0.076923077,0
7.59515E-4,20.759753435,0.192243565,0.192073171,0.076923077,0
7.82962E-4,21.069580367,0.197549731,0.18800813,0.076923077,0
8.08037E-4,21.308702828,0.203185879,0.18495935,0.076923077,0
8.32226E-4,21.556206812,0.20858549,0.181910569,0.076923077,0
8.58004E-4,21.810931023,0.214299205,0.178861789,0.076923077,0
9.30916E-4,22.080712569,0.230238395,0.175813008,0.076923077,0
9.43674E-4,22.269393078,0.232994022,0.173780488,0.076923077,0
9.69341E-4,22.557371706,0.238507852,0.170731707,0.076923077,0
9.81414E-4,22.753509175,0.24108766,0.168699187,0.076923077,0
1.01317E-3,23.055220088,0.247832038,0.165650407,0.076923077,0
1.03429E-3,23.260702437,0.252284893,0.163617886,0.076923077,0
1.07409E-3,23.576329133,0.260602409,0.160569106,0.076923077,0
1.0906E-3,23.794046799,0.264025137,0.158536585,0.076923077,0
1.09628E-3,24.012803638,0.265200427,0.156504065,0.076923077,0
1.12133E-3,24.34570574,0.270355706,0.153455285,0.076923077,0
1.12609E-3,24.570628694,0.27133189,0.151422764,0.076923077,0
1.15481E-3,24.80156615,0.277189628,0.149390244,0.076923077,0
1.19974E-3,25.03822045,0.286261945,0.147357724,0.153846154,0
1.20509E-3,25.279089581,0.287334251,0.145325203,0.153846154,0
1.24898E-3,25.525429538,0.296073445,0.143292683,0.153846154,0
1.26457E-3,25.777605849,0.299150655,0.141260163,0.153846154,0
1.29975E-3,26.035064221,0.30604726,0.139227642,0.153846154,0
1.33862E-3,26.299773096,0.313588631,0.137195122,0.153846154,0
1.37062E-3,26.571519823,0.319735157,0.135162602,0.153846154,0
1.3786E-3,26.847182308,0.321258343,0.133130081,0.153846154,0
1.40727E-3,27.125896021,0.326707566,0.131097561,0.153846154,0
1.40757E-3,27.266653377,0.326764288,0.130081301,0.153846154,0
1.43186E-3,27.551555742,0.331345463,0.12804878,0.153846154,0
1.44024E-3,27.838825354,0.332918178,0.12601626,0.153846154,0
1.48206E-3,28.133446318,0.340713255,0.12398374,0.153846154,0
1.50573E-3,28.2840191,0.345085309,0.12296748,0.153846154,0
1.55164E-3,28.590376723,0.353482418,0.120934959,0.230769231,0
1.60682E-3,28.908561783,0.363433686,0.118902439,0.230769231,0
1.66037E-3,29.074599007,0.372944256,0.117886179,0.230769231,0
1.66905E-3,29.408349978,0.374472814,0.115853659,0.230769231,0
1.69143E-3,29.577493171,0.378395047,0.114837398,0.230769231,0
1.74235E-3,29.751728159,0.387228529,0.113821138,0.230769231,0
1.81642E-3,30.111454854,0.399854804,0.111788618,0.230769231,0
1.82534E-3,30.29398918,0.401358355,0.110772358,0.230769231,0
1.87146E-3,30.663761872,0.409069318,0.108739837,0.230769231,0
1.91878E-3,30.85563998,0.41687685,0.107723577,0.230769231,0
1.93758E-3,31.049398354,0.419950702,0.106707317,0.230769231,0
1.94922E-3,31.438682737,0.421844775,0.104674797,0.230769231,0
1.98705E-3,31.637387715,0.427960233,0.103658537,0.230769231,0
2.02181E-3,31.83956871,0.433522334,0.102642276,0.230769231,0
2.04396E-3,32.043964982,0.43703883,0.101626016,0.230769231,0
2.16546E-3,32.260510928,0.455940448,0.100609756,0.230769231,0
2.18882E-3,32.697625495,0.459500593,0.098577236,0.230769231,0
2.22353E-3,32.919978983,0.464749913,0.097560976,0.230769231,0
2.22784E-3,33.14276296,0.465397217,0.096544715,0.230769231,0
2.22853E-3,33.36561597,0.465500942,0.095528455,0.230769231,0
2.25546E-3,33.591162108,0.469531936,0.094512195,0.230769231,0
2.29304E-3,33.820465959,0.475105615,0.093495935,0.230769231,0
2.29877E-3,34.050342514,0.475949928,0.092479675,0.230769231,0
2.33843E-3,34.28418579,0.481760733,0.091463415,0.230769231,0
2.34225E-3,34.518410499,0.482316082,0.090447154,0.230769231,0
2.38164E-3,34.75657472,0.48801714,0.089430894,0.230769231,0
2.44688E-3,35.001262414,0.497319847,0.088414634,0.230769231,0
